id,title,naver_url,original_url,source,published,has_published,image_url,scraped_at,scraped_url
1,"""아줌마 출입금지, 우아한 여성만""…노줌마존 헬스장 논란",https://n.news.naver.com/mnews/article/003/0012598306?sid=102,https://www.newsis.com/view/?id=NISX20240611_0002767879&cID=10201&pID=10200,뉴시스,2024.06.11.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F06%2F11%2F12598306.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:32,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240608to20240614,a:all&start=1&service_area=1&office_category=2"
2,[와글와글] 헬스장에 '아줌마 출입 금지' 안내문‥이유는?,https://n.news.naver.com/mnews/article/214/0001354278?sid=102,https://imnews.imbc.com/replay/2024/nwtoday/article/6606946_36523.html,MBC,2024.06.12.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F214%2F2024%2F06%2F12%2F1354278.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:32,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240608to20240614,a:all&start=1&service_area=1&office_category=2"
3,테이블 밑 '습기 찬 노란 페트병'…식당서 아이 오줌 누게 한 부모[영상...,https://n.news.naver.com/mnews/article/421/0007598189?sid=102,https://www.news1.kr/articles/5445648,뉴스1,2024.06.13.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2024%2F06%2F13%2F7598189.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:32,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240608to20240614,a:all&start=1&service_area=1&office_category=2"
4,[투나잇이슈] 헬스장 '아줌마 출입금지' 논란…정유정 무기징역 확정,https://n.news.naver.com/mnews/article/422/0000665067?sid=102,http://www.yonhapnewstv.co.kr/MYH20240613025000641/?input=1825m,연합뉴스TV,2024.06.13.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F422%2F2024%2F06%2F13%2F665067.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:32,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240608to20240614,a:all&start=1&service_area=1&office_category=2"
5,"""우아한 여성만 출입 가능""…헬스장 '노줌마' 선언 논란",https://n.news.naver.com/mnews/article/055/0001162511?sid=102,https://news.sbs.co.kr/news/endPage.do?news_id=N1007679662&plink=ORI&cooper=NAVER,SBS,2024.06.11.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F055%2F2024%2F06%2F11%2F1162511.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:32,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240608to20240614,a:all&start=1&service_area=1&office_category=2"
6,"""아줌마 출입금지""…'노줌마' 헬스장 사장 만나보니",https://n.news.naver.com/mnews/article/422/0000664848?sid=102,http://www.yonhapnewstv.co.kr/MYH20240612026000641/?input=1825m,연합뉴스TV,2024.06.12.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F422%2F2024%2F06%2F12%2F664848.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:32,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240608to20240614,a:all&start=1&service_area=1&office_category=2"
7,[잇슈큐즈미] 노키즈존 이어 '노줌마존',https://n.news.naver.com/mnews/article/422/0000666483?sid=102,http://www.yonhapnewstv.co.kr/MYH20240621018700641/?input=1825m,연합뉴스TV,2024.06.21.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F422%2F2024%2F06%2F21%2F666483.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:37,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240615to20240621,a:all&start=1&service_area=1&office_category=2"
8,한국에 '노 키즈존' 있다면 캐나다는 '노 플레이 존'…자유와 제한 사이...,https://n.news.naver.com/mnews/article/421/0007609209?sid=104,https://www.news1.kr/articles/5451230,뉴스1,2024.06.18.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2024%2F06%2F18%2F7609209.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:37,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240615to20240621,a:all&start=1&service_area=1&office_category=2"
9,"[현장잇슈]태백 '예스키즈존' 식당 사장님 ""점점 귀한 아이들, 가려받을...",https://n.news.naver.com/mnews/article/422/0000665863?sid=102,http://www.yonhapnewstv.co.kr/MYH20240618020200640/?input=1825m,연합뉴스TV,2024.06.18.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F422%2F2024%2F06%2F18%2F665863.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:37,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240615to20240621,a:all&start=1&service_area=1&office_category=2"
10,"'아줌마 출입 금지'…BBC, 한국 헬스장 차별 논란 조명",https://n.news.naver.com/mnews/article/001/0014748925?sid=104,https://www.yna.co.kr/view/AKR20240615022300009?input=1195m,연합뉴스,2024.06.15.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2024%2F06%2F15%2F14748925.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:37,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240615to20240621,a:all&start=1&service_area=1&office_category=2"
11,"'아줌마 출입 금지'…BBC, 한국 헬스장 차별 논란 조명",https://n.news.naver.com/mnews/article/055/0001163922?sid=104,https://news.sbs.co.kr/news/endPage.do?news_id=N1007685839&plink=ORI&cooper=NAVER,SBS,2024.06.17.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F055%2F2024%2F06%2F17%2F1163922.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:37,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240615to20240621,a:all&start=1&service_area=1&office_category=2"
12,"[인터뷰] 2시간 자리 비운 카페 손님, 돌아와서 ""기지배가"" 막말",https://n.news.naver.com/mnews/article/437/0000397626?sid=102,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12201367,JTBC,2024.06.18.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F437%2F2024%2F06%2F18%2F397626.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:37,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240615to20240621,a:all&start=1&service_area=1&office_category=2"
13,"BBC, 韓 '아줌마 출입 금지' 헬스장 차별 논란 조명",https://n.news.naver.com/mnews/article/422/0000665365?sid=104,http://www.yonhapnewstv.co.kr/MYH20240615008800641/?input=1825m,연합뉴스TV,2024.06.15.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F422%2F2024%2F06%2F15%2F665365.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:37,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240615to20240621,a:all&start=1&service_area=1&office_category=2"
14,"""아줌마 출입금지, 한국은 왜?""...외신 보도",https://n.news.naver.com/mnews/article/215/0001166536?sid=102,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202406150016&t=NN,한국경제TV,2024.06.15.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F215%2F2024%2F06%2F15%2F1166536.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:37,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240615to20240621,a:all&start=1&service_area=1&office_category=2"
15,"""19세 미만 출입금지""…'노키즈 수영장' 호텔들 는다",https://n.news.naver.com/mnews/article/003/0012636638?sid=102,https://www.newsis.com/view/NISX20240626_0002787710,뉴시스,2024.06.29.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F06%2F29%2F12636638.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:49,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240629to20240705,a:all&start=1&service_area=1&office_category=2"
16,'놀이터 공놀이 금지 논란' 아파트 소장 사과문 게시 일단락,https://n.news.naver.com/mnews/article/003/0012642396?sid=102,https://www.newsis.com/view/NISX20240702_0002795561,뉴시스,2024.07.02.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F07%2F02%2F12642396.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:49,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240629to20240705,a:all&start=1&service_area=1&office_category=2"
17,‘NO키즈’ 아니라 ‘YES키즈’…2030 바꾸는 진짜 결혼·출산 장려책은...,https://n.news.naver.com/mnews/article/056/0011759980?sid=101,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8009808&ref=A,KBS,2024.07.11.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2024%2F07%2F11%2F11759980.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:54,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240706to20240712,a:all&start=1&service_area=1&office_category=2"
18,"11번가, 인천 '파라다이스시티' 패키지 할인 프로모션 진행",https://n.news.naver.com/mnews/article/003/0012652020?sid=101,https://www.newsis.com/view/NISX20240708_0002801752,뉴시스,2024.07.08.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F07%2F08%2F12652020.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:54,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240706to20240712,a:all&start=1&service_area=1&office_category=2"
19,"[성공예감] 육아를 회사 프로젝트처럼, 육퇴하고 육라벨 지켜요 – 곽연...",https://n.news.naver.com/mnews/article/056/0011759680?sid=102,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8009498&ref=A,KBS,2024.07.11.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2024%2F07%2F11%2F11759680.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:54,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240706to20240712,a:all&start=1&service_area=1&office_category=2"
20,[이슈픽] 노줌마에 노시니어…‘논란의 노○○존’,https://n.news.naver.com/mnews/article/056/0011764648?sid=102,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8015339&ref=A,KBS,2024.07.18.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2024%2F07%2F18%2F11764648.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:59,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240713to20240719,a:all&start=1&service_area=1&office_category=2"
21,"세이브더칠드런, 내달 '대한민국 아동총회' 앞서 지역대회 개최",https://n.news.naver.com/mnews/article/001/0014806365?sid=102,https://www.yna.co.kr/view/AKR20240715016700371?input=1195m,연합뉴스,2024.07.15.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2024%2F07%2F15%2F14806365.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:05:59,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240713to20240719,a:all&start=1&service_area=1&office_category=2"
22,"가게 문에 손 끼인 아이…""잡아줬어야지"" 배상 요구(영상)",https://n.news.naver.com/mnews/article/003/0012683302?sid=102,https://www.newsis.com/view/NISX20240723_0002822131,뉴시스,2024.07.23.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F07%2F23%2F12683302.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:06:05,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240720to20240726,a:all&start=1&service_area=1&office_category=2"
23,"가게 문에 손 끼인 아이…""문 잡아줘야"" 女손님에 배상 요청한 부모[영...",https://n.news.naver.com/mnews/article/421/0007680586?sid=102,https://www.news1.kr/society/general-society/5488121,뉴스1,2024.07.23.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2024%2F07%2F23%2F7680586.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:06:05,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240720to20240726,a:all&start=1&service_area=1&office_category=2"
