title,naver_url,source,published
"한은 ""고령화, 통화정책 제약…출산율 OECD 평균되면 성장률 1%p↑""",https://www.newsis.com/view/NISX20250604_0003201102,뉴시스,10시간 전
육아휴직·혼외자·내조…결혼·출산 관련 부정적 용어 바꾼다,https://www.yna.co.kr/view/AKR20250603034400530?input=1195m,연합뉴스,1일 전
日 출산율 최저치 경신…출생아 수 126년 만에 70만명 밑으로,https://www.mk.co.kr/article/11334338,매일경제,7시간 전
"“아이 낳고 키우기 좋은 도시”… 화성시, 출산율 2년 연속 전국 1위",https://sports.donga.com/region/article/all/20250604/131743765/1,스포츠동아,10시간 전
"1000만 인플루언서 써니다혜, 일산차병원에서 건강한 여아 출산",https://www.news1.kr/bio/welfare-medical/5803932,뉴스1,11시간 전
고령화에 통화정책 여력 한계…노동·출산율 등 구조개혁 필요,https://www.sedaily.com/NewsView/2GTXZJ14CX,서울경제,10시간 전
생명보험협회 “출산·고령화 함께 해결”…인구문제 캠페인 동참,https://biz.heraldcorp.com/article/10502116?ref=naver,헤럴드경제,11시간 전
출산·노후·외로움까지 챙긴다…이재명式 복지 로드맵 가동,https://view.asiae.co.kr/article/2025060217174440085,아시아경제,14면 1단
"경기도, 2025년부터 출생아 가정에 ‘디지털 축하카드’ 발송",https://www.kgnews.co.kr/news/article.html?no=848253,경기신문,4시간 전
'2007년생 황금돼지띠' 출산 여파 고3 수험생 급증,https://www.jbnews.com/news/articleView.html?idxno=1478374,중부매일,13시간 전
출산·노후·외로움까지 챙긴다…이재명式 복지 로드맵 가동,https://view.asiae.co.kr/article/2025060217174440085,아시아경제,14면 1단
[21대 대선] 인구절벽 위기 '출산율 1위' 영광군의 해법…이 시각 호남 ...,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5116999,MBN,1일 전
"전남 1분기 합계출산율 1.13…""기본수당 등 효과""",https://www.newsis.com/view/NISX20250602_0003198446,뉴시스,2일 전
"‘月 20만원’ 전남 출생수당, 출산율 회복 견인",http://www.segye.com/newsView/20250602512858?OutUrl=naver,세계일보,A12면 1단
"태아도 자녀 수에 포함…울산시, 층간소음 저감 매트 지원 출산전부터 ...",https://www.mk.co.kr/article/11334044,매일경제,11시간 전
"""둘만 낳아라"" 출산 제한하던 이 나라…40년 만의 반전",http://news.mt.co.kr/mtview.php?no=2025060416435863368,머니투데이,5시간 전
"경기도, 2025년부터 출생아 가정에 ‘디지털 축하카드’ 발송",https://www.kgnews.co.kr/news/article.html?no=848253,경기신문,4시간 전
인천공항 도착 여객기서 태어난 신생아 숨져…외국인 여성 출산,https://www.yna.co.kr/view/AKR20250601017500065?input=1195m,연합뉴스,3일 전
'2007년생 황금돼지띠' 출산 여파 고3 수험생 급증,https://www.jbnews.com/news/articleView.html?idxno=1478374,중부매일,13시간 전
청소년 한부모에 출산·양육 복지 정보 제공 의무화,https://www.kizmom.com/news/articleView.html?idxno=100803,키즈맘,11시간 전
